"","TimeStamp_1h","Spot_O","Model_O","RH_O","CO2_O","BP_O","TempC_O","PM1_O","PM25_O","PM10_O","Spot_M","Model_M","RH_M","CO2_M","BP_M","TempC_M","PM1_M","PM25_M","PM10_M","Spot_E","Model_E","RH_E","CO2_E","BP_E","TempC_E","PM1_E","PM25_E","PM10_E","Wind Speed (m/s)","Wind Direction","TOSAC","Opening","Bscat.rev","Tower_Neph","Bellevue","Weller","LFP","Lynnwood","Duwamish","Lynn_Dis","LFP_Dis","Wel_Dis","Bel_Dis","Duw_Dis","occupancy","Wind_NS","Lynn_Travel","LFP_Travel","Wel_Travel","Bel_Travel","Duw_Travel"
"37",2019-08-02 14:00:00,"O3",2658,57.8333333333333,437.833333333333,101.161458333333,23.4416666666667,0.878320263166667,1.52906530366667,8.33913146475,"Mixing",1423,74.0833333333333,686.5,101.151041666667,19.4583333333333,1.56762508333333,3.17524058333333,11.2426418333333,"Exhaust",1702,60.5833333333333,410.583333333333,101.223958333333,23.4416666666667,0.681707683333333,1.080842775,2.980749,2.22925733333333,276.9,20.1333333333333,1,NA,NA,0.5,10,2.7,2.6,6.7,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,2.01962128294246,1.33745463611299,0.882423922346635,1.7648553210247,1.41455056581873
"38",2019-08-02 15:00:00,"O3",2658,58.3333333333333,452,101.192708333333,23.35,0.827032018,1.24659697966667,7.15289178241667,"Mixing",1423,69.5833333333333,675,101.140625,20.6833333333333,1.68647891666667,3.17312808333333,10.8978904166667,"Exhaust",1702,60.6666666666667,410.083333333333,101.197916666667,23.4666666666667,0.678974091666667,1.03660434166667,2.87990058333333,1.6976652,220.3,21.5583333333333,1,NA,NA,0.8,7,3.2,3.1,6,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,2.65202794729818,1.75625356257262,1.15873848388952,2.31748678518395,1.85749064198419
"39",2019-08-02 16:00:00,"O3",2658,58.4166666666667,455.416666666667,101.151041666667,23.1083333333333,0.941347475333333,1.3551060535,7.46698401133333,"Mixing",1423,65.5833333333333,675.583333333333,101.171875,21.3666666666667,1.71657025,2.96558775,9.88887408333333,"Exhaust",1702,61.4166666666667,412.333333333333,101.21875,23.0166666666667,0.788328075,1.14574325,3.126095,1.8519984,214.85,22.6916666666667,1,NA,NA,1.1,6,3.2,3.9,5.6,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,2.43102561835667,1.6098990990249,1.06217694356539,2.12436288641862,1.70269975515218
"40",2019-08-02 17:00:00,"O3",2658,57.5833333333333,457.5,101.135416666667,23.075,1.15988511358333,1.51654758858333,5.06509161566667,"Mixing",1423,62.25,673.166666666667,101.135416666667,21.8083333333333,2.227445,3.72678258333333,11.0830841666667,"Exhaust",1702,60.6666666666667,399.416666666667,101.192708333333,22.8666666666667,0.965203625,1.31272641666667,2.72201391666667,1.7748318,221.866666666667,22.8166666666667,1,NA,NA,1.3,5,4,3.8,5.4,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,2.53672238437217,1.67989471202598,1.10835854980737,2.21672649017595,1.77673017928923
"41",2019-08-02 18:00:00,"O3",2658,56.6666666666667,410.083333333333,101.098958333333,23.0083333333333,1.18694877983333,1.45447251758333,2.95413707975,"Mixing",1423,61.5,669.416666666667,101.223958333333,21.8,1.96189575,3.21585958333333,9.26219025,"Exhaust",1702,59.75,379.583333333333,101.166666666667,22.8083333333333,0.949738175,1.27231516666667,2.11749033333333,1.84342433333333,243.983333333333,22.75,1,NA,NA,1.5,2,4.4,4.5,5.3,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,2.442332714256,1.61738700181106,1.06711730144244,2.13424364402987,1.71061928889707
"42",2019-08-02 19:00:00,"O3",2658,53.9166666666667,397.166666666667,101.135416666667,24.0333333333333,1.37566320166667,1.68802512225,2.5937827915,"Mixing",1423,60.1818181818182,645,101.176136363636,22.2818181818182,2.68067590909091,4.46810345454545,12.6394237272727,"Exhaust",1702,56.3333333333333,363.416666666667,101.203125,23.9916666666667,1.61019991666667,2.40051308333333,5.30946525,1.63764673333333,273.083333333333,23.1083333333333,0.0335833333333333,NA,NA,1.5,6,4.7,4.3,5.5,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,2.7492226888222,1.82061887638418,1.20120533932003,2.40242085584514,1.92556621525063
"43",2019-08-02 20:00:00,"O3",2658,51.4166666666667,394.916666666667,101.104166666667,25.075,1.55530287666667,2.00314707583333,3.14924833716667,"Mixing",1423,58.5833333333333,627.166666666667,101.15625,22.5166666666667,4.371329,7.361509,18.6516991666667,"Exhaust",1702,53.0833333333333,355.25,101.234375,24.9416666666667,3.95500591666667,6.50132016666667,15.0305375,2.057776,294.65,22.5916666666667,0,NA,NA,2.2,11,6.6,5.5,7.2,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,2.187923056521,1.44890918912241,0.955959249208855,1.91192659777676,1.53242977963696
"44",2019-08-02 21:00:00,"O3",2658,51,392.333333333333,101.145833333333,25.2833333333333,1.86782698175,2.44018584675,3.05991477833333,"Mixing",1423,57.9166666666667,633.083333333333,101.177083333333,22.025,6.09892758333333,10.2653301666667,23.8934066666667,"Exhaust",1702,53.0833333333333,356,101.244791666667,23.9916666666667,6.12713791666667,10.3398838333333,24.7456033333333,1.75768366666667,292.866666666667,21.775,0,NA,NA,3.5,11,8.4,6.7,11.2,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,2.56147089543922,1.69628392872867,1.11917180395183,2.23835309008011,1.7940641322579
"45",2019-08-02 22:00:00,"O3",2658,50,389.833333333333,101.151041666667,25.375,2.42699850658333,3.181935871,3.65467781258333,"Mixing",1423,56.5,632.666666666667,101.291666666667,21.7833333333333,6.89659033333333,11.2775066666667,25.6991133333333,"Exhaust",1702,51.6666666666667,354.5,101.25,23.8083333333333,6.93277325,11.3839033333333,25.5542433333333,1.78340586666667,224.566666666667,21.5083333333333,0,NA,NA,5.5,7,8.2,7.3,11.2,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,2.52452660367808,1.67181829514124,1.10302990293329,2.20606915128087,1.76818820727341
"46",2019-08-02 23:00:00,"O3",2658,50,385.727272727273,101.1875,25.4,2.97010752290909,3.83918821818182,4.26173067172727,"Mixing",1423,56.9166666666667,635.166666666667,101.296875,21.5416666666667,7.77942166666667,12.9292525,30.0760808333333,"Exhaust",1702,51.25,354.75,101.260416666667,23.9833333333333,7.65963341666667,12.6667775,27.336675,1.63764673333333,151.283333333333,21.7916666666667,0,NA,NA,7.2,6,10.2,9.4,10.5,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,2.7492226888222,1.82061887638418,1.20120533932003,2.40242085584514,1.92556621525063
"47",2019-08-03 00:00:00,"O3",2658,49.5,382.583333333333,101.223958333333,25.3666666666667,3.58624826766667,4.68419235358333,5.24830458633333,"Mixing",1423,58.5,633.5,101.265625,20.8,10.1065113333333,17.0242783333333,38.97897,"Exhaust",1702,52.1666666666667,351.583333333333,101.302083333333,23.325,9.94438975,16.811835,36.70871,1.98918346666667,49.5833333333333,19.8333333333333,0,NA,NA,8.1,9,12.1,10.8,12.2,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,2.26336867915965,1.49887157495422,0.988923361250539,1.97785510114837,1.58527218583134
"48",2019-08-03 01:00:00,"O3",2658,49,377.5,101.291666666667,25.3083333333333,4.57944880791667,5.9948085185,6.54501657658333,"Mixing",1423,57.3333333333333,631.666666666667,101.447916666667,20.1583333333333,11.3332675,18.11104,37.4149983333333,"Exhaust",1702,51.5,353.166666666667,101.296875,22.6333333333333,11.330875,18.0560658333333,36.50194,1.73196146666667,38.6166666666667,19.4916666666667,0,NA,NA,9,11,13.4,11.6,13.6,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,2.59951254240119,1.72147626430385,1.13579316737686,2.27159595775456,1.82070864907361
"49",2019-08-03 02:00:00,"O3",2658,48.6666666666667,374,101.286458333333,25.275,5.61544084066667,7.24101313475,7.82300216341667,"Mixing",1423,57.4166666666667,639,101.380208333333,20.1166666666667,11.7773941666667,19.0251566666667,39.5794991666667,"Exhaust",1702,50.1666666666667,354.5,101.359375,23.1083333333333,11.8759675,19.0445916666667,38.0386875,1.68051706666667,58.6666666666667,19.5666666666667,0,NA,NA,8.6,8,13.4,11.8,14.2,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,2.67908945696449,1.77417451729275,1.17056234597003,2.34113460952256,1.87644462812689
"50",2019-08-03 03:00:00,"O3",2658,48.0833333333333,369.916666666667,101.25,25.2166666666667,6.61491694466667,8.534894381,9.17349326391667,"Mixing",1423,57.5,640.333333333333,101.369791666667,19.6166666666667,12.4636683333333,21.1820616666667,44.6691916666667,"Exhaust",1702,50,354.166666666667,101.3125,22.8,12.4028291666667,21.0314375,42.5819141666667,1.50903573333333,200.716666666667,18.9666666666667,0,NA,NA,9.3,14,13.8,11.7,15.2,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,2.98353144071045,1.9757852578942,1.30358079437571,2.60717263333194,2.08967697223222
"51",2019-08-03 04:00:00,"O3",2658,48,366.583333333333,101.333333333333,25.1666666666667,7.44834790433333,9.65939718841667,10.2632356348333,"Mixing",1423,57.8333333333333,640.583333333333,101.411458333333,19.1833333333333,12.1868183333333,21.6187516666667,49.1390833333333,"Exhaust",1702,50.1666666666667,355.583333333333,101.34375,22.4166666666667,12.2158316666667,21.4906691666667,47.5967491666667,1.4404432,113.766666666667,17.7833333333333,0,NA,NA,9.7,11,14.2,10.7,16.1,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,3.12560436645857,2.06987027017487,1.36565607029836,2.73132371110965,2.18918539948137
"52",2019-08-03 05:00:00,"O3",2658,47.0833333333333,363.5,101.317708333333,25.1,7.92947403458333,10.4096599408333,11.0790466408333,"Mixing",1423,59.0833333333333,641.5,101.385416666667,18.8083333333333,11.4676025,20.97846,48.7222525,"Exhaust",1702,50.9166666666667,356.75,101.354166666667,22.1166666666667,11.5597758333333,21.0909533333333,47.7273808333333,1.53475793333333,65.9666666666667,17.3166666666667,0,NA,NA,10.9,11,14.1,9.9,16.2,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,2.93352812047508,1.94267153848815,1.28173307156494,2.56347700260571,2.05465445314453
